cluster_imp,n_customers,pct_customers,total_orders,total_net_revenue,avg_order_value,recency_days,tenure_days,return_rate_per_unit,avg_item_discount_pct,total_sessions,sessions_with_purchase,online_order_share,campaigns_converted_30d,churn_flag_90d,segment_name
0,19680,39.4,4.0,374.69,95.558,45.0,439.0,0.111,0.229,6.0,2.0,0.667,0.0,0.0,Dormant 1
1,8492,17.0,22.0,3427.835,155.285,16.0,890.0,0.124,0.159,19.0,15.0,0.857,1.0,0.0,Champions
2,6239,12.5,1.0,100.18,62.09,44.0,434.0,0.0,0.203,4.0,0.0,0.0,0.0,0.0,Dormant 2
3,15589,31.2,13.0,1493.09,117.229,21.0,701.0,0.13,0.229,12.0,8.0,0.786,0.0,0.0,Mid-Tier Active
