metric,baseline_best_model,baseline_value,v2_value,delta_v2_minus_baseline,note
roc_auc,rf_balanced,0.865635952102804,0.8116281325463737,-0.0540078195564303,"regimes differ: baseline=stratified random split incl. recency-derived features; V2=time-ordered split, 90d maturity filter, recency excluded"
pr_auc,rf_balanced,0.5964990400957196,0.44772587877567543,-0.1487731613200442,"regimes differ: baseline=stratified random split incl. recency-derived features; V2=time-ordered split, 90d maturity filter, recency excluded"
log_loss,rf_balanced,0.3298552943122634,0.5149555358898458,0.18510024157758237,"regimes differ: baseline=stratified random split incl. recency-derived features; V2=time-ordered split, 90d maturity filter, recency excluded"
brier_score,rf_balanced,0.1026048121821356,0.17356892619125272,0.07096411400911712,"regimes differ: baseline=stratified random split incl. recency-derived features; V2=time-ordered split, 90d maturity filter, recency excluded"
accuracy_at_0_50,rf_balanced,0.8552,0.7373628993800667,-0.11783710061993324,"regimes differ: baseline=stratified random split incl. recency-derived features; V2=time-ordered split, 90d maturity filter, recency excluded"
balanced_accuracy_at_0_50,rf_balanced,0.7170664489589723,0.7394569844161463,0.022390535457173955,"regimes differ: baseline=stratified random split incl. recency-derived features; V2=time-ordered split, 90d maturity filter, recency excluded"
mcc_at_0_50,rf_balanced,0.4615533928404969,0.36218902658476676,-0.09936436625573014,"regimes differ: baseline=stratified random split incl. recency-derived features; V2=time-ordered split, 90d maturity filter, recency excluded"
