k,sil_mean,sil_std,inertia,db_score
2,0.55060138448467,0.00012876379739300942,324041.1338413366,0.585532291044876
3,0.3792151320864399,0.00027534786361967415,217088.79818844967,1.0081003878411883
4,0.33076086114448083,0.053039677517997756,185844.37206918543,1.1286368814448327
5,0.29289626501586435,0.03397147254628175,164660.76378038625,1.2144644733409269
6,0.2865053099454027,0.02125293963827982,146453.29387142355,1.1421218577137757
7,0.26153874179512493,0.016558958271827347,135974.67334632116,1.2532474452091797
8,0.25308043400179947,0.011434008081301801,127275.53809118248,1.261920812205314
