uplift_decile,n_total,n_treatment,n_control,response_rate_treatment,response_rate_control,mean_uplift_score,model,observed_uplift,incremental_responses_est,cumulative_incremental_responses
1,2052.0,1596.0,456.0,0.21303258145363407,0.1513157894736842,0.007575795769618171,t_learner_logreg,0.061716791979949864,126.64285714285712,126.64285714285712
2,2052.0,1667.0,385.0,0.19916016796640673,0.15324675324675324,-0.0015222754198147234,t_learner_logreg,0.04591341471965349,94.21432700472896,220.85718414758608
3,2052.0,1622.0,430.0,0.19852034525277434,0.14883720930232558,-0.006040821602823348,t_learner_logreg,0.049683135950448765,101.94979497032087,322.80697911790696
4,2052.0,1717.0,335.0,0.2050087361677344,0.18507462686567164,-0.011664838378936672,t_learner_logreg,0.01993410930206277,40.904792287832805,363.7117714057398
5,2052.0,1742.0,310.0,0.22560275545350172,0.1870967741935484,-0.01728373855817475,t_learner_logreg,0.03850598125995333,79.01427354542423,442.726044951164
6,2051.0,1763.0,288.0,0.2212138400453772,0.15625,-0.02014710548133679,t_learner_logreg,0.0649638400453772,133.24083593306864,575.9668808842326
7,2052.0,1736.0,316.0,0.19412442396313365,0.16139240506329114,-0.02223926233712824,t_learner_logreg,0.03273201889984251,67.16610278247683,643.1329836667095
8,2052.0,1722.0,330.0,0.2032520325203252,0.1787878787878788,-0.02397024363230108,t_learner_logreg,0.024464153732446398,50.20044345898001,693.3334271256895
9,2052.0,1751.0,301.0,0.20388349514563106,0.12624584717607973,-0.02586494786659372,t_learner_logreg,0.07763764796955133,159.31245363351934,852.6458807592088
10,2052.0,1714.0,338.0,0.20828471411901983,0.1893491124260355,-0.029162500544993548,t_learner_logreg,0.018935601692984333,38.85585467400385,891.5017354332126
1,2052.0,1619.0,433.0,0.20815318097591107,0.16628175519630484,0.21597392053843584,t_learner_rf,0.04187142577960623,85.92016569975199,85.92016569975199
2,2052.0,1698.0,354.0,0.19375736160188456,0.18926553672316385,0.12918048661000067,t_learner_rf,0.004491824878720713,9.217224651134902,95.13739035088689
3,2052.0,1708.0,344.0,0.2154566744730679,0.14244186046511628,0.09581662375385154,t_learner_rf,0.07301481400795162,149.82639834431674,244.96378869520362
4,2052.0,1754.0,298.0,0.20353477765108324,0.1174496644295302,0.07113486606222028,t_learner_rf,0.08608511322155304,176.64665233062684,421.6104410258305
5,2052.0,1722.0,330.0,0.2264808362369338,0.16363636363636364,0.050819183307244824,t_learner_rf,0.06284447260057016,128.95685777636996,550.5672988022004
6,2051.0,1716.0,335.0,0.20279720279720279,0.14626865671641792,0.030213724176903586,t_learner_rf,0.056528546080784864,115.94004801168975,666.5073468138902
7,2052.0,1748.0,304.0,0.2053775743707094,0.16776315789473684,0.007454409944379496,t_learner_rf,0.03761441647597255,77.18478260869567,743.6921294225858
8,2052.0,1698.0,354.0,0.2055359246171967,0.13559322033898305,-0.018173758478401972,t_learner_rf,0.06994270427821364,143.52242917889438,887.2145586014802
9,2052.0,1720.0,332.0,0.21220930232558138,0.20180722891566266,-0.05242273494236122,t_learner_rf,0.010402073409918722,21.34505463715322,908.5596132386335
10,2052.0,1647.0,405.0,0.19914996964177292,0.19012345679012346,-0.12596791628538606,t_learner_rf,0.00902651285164946,18.52240437158469,927.0820176102181
