model,split_strategy,approved_feature_count,train_rows,test_rows,churn_rate_train,churn_rate_test,roc_auc,pr_auc,log_loss,brier_score,accuracy_at_0_50,balanced_accuracy_at_0_50,mcc_at_0_50
rf_balanced,stratified_random_80_20,34,40000,10000,0.171225,0.1712,0.865635952102804,0.5964990400957196,0.3298552943122634,0.1026048121821356,0.8552,0.7170664489589723,0.46155339284049696
logreg_balanced,stratified_random_80_20,34,40000,10000,0.171225,0.1712,0.8477339154909248,0.5553280846710653,0.4826452632813762,0.16099080129765722,0.7637,0.7684609885252409,0.42989304809021367
