cluster_id,segment_name,n,pct_of_total,churn_rate,pct_non_purchaser,median_aov,avg_revenue,median_recency,median_order_rate
0,Champions,24352,0.48704,0.08036300919842312,0.0,130.92107954545452,2320.5266360052565,19.0,0.6564551422319476
1,Mid-Tier Active,5187,0.10374,0.011760169654906496,0.0,111.52666666666664,505.7828243686139,14.0,1.0227272727272727
2,Dormant Buyers,14893,0.29786,0.4393339152622037,0.0,88.49,440.51049889209696,71.0,0.2040816326530612
3,Non-Purchasers,5568,0.11136,0.0,1.0,0.0,0.0,474.0,0.0
